ProductID,ProductName,MaterialID,MaterialName,QuantityPerUnit,UnitOfMeasure,MaterialCostPerUnit
PROD008,PowerVault IoT Gateway,MAT008,Ceramic Substrate,0.57,units,$71.25
PROD008,PowerVault IoT Gateway,MAT007,Epoxy Molding Compound,1.17,grams,$32.76
PROD008,PowerVault IoT Gateway,MAT006,Aluminum Wire 1mm,20.50,meters,$102.50
PROD008,PowerVault IoT Gateway,MAT010,Tungsten Metallization,12.11,grams,"$1,029.35"
PROD008,PowerVault IoT Gateway,MAT002,Gold Wire Bonding,45.90,meters,$367.20
PROD009,Sentinel Security Chip,MAT006,Aluminum Wire 1mm,44.40,meters,$222.00
PROD009,Sentinel Security Chip,MAT004,Photoresist Material,1.19,grams,$38.08
PROD009,Sentinel Security Chip,MAT003,Copper PCB Substrate,4.04,units,$262.60
PROD009,Sentinel Security Chip,MAT005,Flux & Solder,3.56,grams,$42.72
PROD009,Sentinel Security Chip,MAT009,Tantalum Capacitors,339.00,pieces,$847.50
PROD009,Sentinel Security Chip,MAT001,Silicon Wafers 300mm,1.77,units,$796.50
PROD009,Sentinel Security Chip,MAT007,Epoxy Molding Compound,1.23,grams,$34.44
PROD010,FlexiCore FPGA,MAT009,Tantalum Capacitors,407.00,pieces,"$1,017.50"
PROD010,FlexiCore FPGA,MAT005,Flux & Solder,2.03,grams,$24.36
PROD010,FlexiCore FPGA,MAT001,Silicon Wafers 300mm,1.59,units,$715.50
PROD010,FlexiCore FPGA,MAT006,Aluminum Wire 1mm,16.30,meters,$81.50
PROD010,FlexiCore FPGA,MAT007,Epoxy Molding Compound,0.11,grams,$3.08
PROD010,FlexiCore FPGA,MAT008,Ceramic Substrate,1.47,units,$183.75
PROD010,FlexiCore FPGA,MAT003,Copper PCB Substrate,14.67,units,$953.55
PROD011,Prism Display Driver,MAT009,Tantalum Capacitors,303.00,pieces,$757.50
PROD011,Prism Display Driver,MAT002,Gold Wire Bonding,18.00,meters,$144.00
PROD011,Prism Display Driver,MAT005,Flux & Solder,2.18,grams,$26.16
PROD011,Prism Display Driver,MAT007,Epoxy Molding Compound,0.41,grams,$11.48
PROD011,Prism Display Driver,MAT006,Aluminum Wire 1mm,48.10,meters,$240.50
PROD012,SuperLink SerDes,MAT010,Tungsten Metallization,3.13,grams,$266.05
PROD012,SuperLink SerDes,MAT006,Aluminum Wire 1mm,24.50,meters,$122.50
PROD012,SuperLink SerDes,MAT008,Ceramic Substrate,1.97,units,$246.25
PROD012,SuperLink SerDes,MAT001,Silicon Wafers 300mm,2.61,units,"$1,174.50"
